iter	Passed	Remaining
0	47	47928
1	49	24492
2	50	16661
3	50	12661
4	52	10382
5	52	8743
6	53	7593
7	54	6711
8	54	6033
9	56	5616
10	57	5154
11	57	4769
12	59	4524
13	60	4236
14	60	4003
15	64	3936
16	65	3771
17	65	3596
18	66	3433
19	67	3290
20	67	3164
21	70	3120
22	70	3012
23	71	2907
24	72	2823
25	73	2748
26	73	2666
27	76	2661
28	77	2586
29	78	2553
30	79	2488
31	80	2426
32	81	2373
33	81	2319
34	83	2315
35	84	2265
36	85	2235
37	86	2189
38	87	2151
39	89	2153
40	90	2112
41	91	2095
42	92	2059
43	93	2032
44	95	2016
45	99	2054
46	99	2024
47	101	2005
48	101	1974
49	102	1947
50	103	1918
51	103	1889
52	104	1863
53	105	1840
54	105	1817
55	106	1793
56	107	1770
57	107	1747
58	109	1738
59	114	1794
60	116	1785
61	116	1765
62	117	1743
63	117	1723
64	118	1703
65	119	1687
66	120	1672
67	120	1653
68	121	1635
69	121	1617
70	122	1603
71	126	1630
72	127	1613
73	127	1598
74	129	1601
75	130	1589
76	131	1577
77	132	1562
78	132	1547
79	133	1533
80	140	1591
81	141	1589
82	142	1573
83	144	1572
84	145	1561
85	147	1571
86	151	1593
87	152	1579
88	155	1594
89	157	1595
90	158	1582
91	158	1568
92	163	1590
93	167	1612
94	167	1599
95	174	1645
96	178	1658
97	181	1674
98	182	1661
99	184	1664
100	188	1679
101	193	1705
102	195	1706
103	197	1703
104	198	1690
105	200	1687
106	200	1675
107	201	1662
108	203	1662
109	203	1650
110	205	1649
111	206	1637
112	207	1631
113	210	1637
114	211	1625
115	211	1614
116	214	1615
117	215	1609
118	215	1598
119	216	1587
120	217	1577
121	219	1578
122	220	1573
123	221	1567
124	222	1560
125	223	1553
126	224	1542
127	231	1576
128	233	1574
129	234	1572
130	237	1573
131	237	1563
132	238	1554
133	239	1546
134	239	1536
135	243	1546
136	244	1537
137	251	1568
138	251	1560
139	252	1551
140	253	1542
141	253	1531
142	254	1522
143	254	1513
144	255	1504
145	255	1495
146	256	1485
147	259	1494
148	260	1486
149	261	1480
150	261	1472
151	263	1472
152	264	1465
153	265	1457
154	265	1449
155	266	1441
156	271	1459
157	272	1454
158	273	1446
159	276	1449
160	276	1441
161	277	1433
162	280	1438
163	281	1437
164	282	1429
165	285	1433
166	285	1426
167	287	1426
168	288	1418
169	289	1411
170	289	1404
171	292	1409
172	293	1404
173	295	1400
174	295	1394
175	296	1387
176	296	1380
177	297	1374
178	299	1372
179	301	1372
180	302	1368
181	303	1364
182	305	1364
183	306	1359
184	307	1353
185	307	1346
186	308	1340
187	311	1344
188	312	1340
189	313	1335
190	320	1355
191	321	1352
192	322	1346
193	323	1343
194	324	1341
195	325	1335
196	327	1333
197	327	1327
198	328	1322
199	329	1319
200	330	1313
